Company,ESG_Score,Environment,Social,Governance,Emissions,Resource Use,Innovation,Human Rights,Product Responsibility,Workforce,Community,Management,Shareholders,CSR Strategy
Apple,64,75,60,59,77,75,73,59,74,53,56,52,60,67
Tesla,51,53,45,57,57,51,53,61,70,50,0,53,58,61
Google,65,74,58,65,79,75,69,53,70,56,56,60,69,67
Microsoft,65,73,59,64,72,74,73,55,73,50,59,59,60,74
Nike,66,69,66,65,71,72,65,65,76,63,63,62,62,72
Fedex,64,62,63,67,69,59,60,66,67,63,56,66,62,74
