Company,Benchmark_Score,BOW_Predicted,Error,Abs_Error
Netflix,37,49.61268765734404,12.61268765734404,12.61268765734404
Meta,60,64.19334331680766,4.193343316807656,4.193343316807656
Eli Lilly,64,68.20009452261245,4.200094522612446,4.200094522612446
McDonald's,66,71.66741863310085,5.667418633100851,5.667418633100851
Disney,68,64.08125263677206,-3.9187473632279364,3.9187473632279364
Nike,70,70.39881275484116,0.39881275484115974,0.39881275484115974
Apple,70,70.45513504909464,0.4551350490946362,0.4551350490946362
FedEx,71,74.35474776075968,3.354747760759679,3.354747760759679
Tesla,72,72.11623278515874,0.11623278515874347,0.11623278515874347
NVIDIA,77,72.66879173795385,-4.331208262046147,4.331208262046147
Boeing,79,75.64306991808976,-3.3569300819102352,3.3569300819102352
JPMorgan Chase,80,77.23637304872328,-2.76362695127672,2.76362695127672
Google,81,77.42231769671007,-3.577682303289933,3.577682303289933
Johnson & Johnson,85,79.23669622857358,-5.763303771426422,5.763303771426422
Microsoft,87,80.88404977688573,-6.115950223114268,6.115950223114268
