Strategy,K_Value,MAE,RMSE,R2_Score,Success_Rate,Score_Diversity,Num_Successful,Num_Total,Approach
improved_k_5,5,21.625,33.389743934328095,-14.98745238628725,0.5333333333333333,8,8,15,Improved_RAG
improved_k_10,10,25.714285714285715,35.92651229543839,-7.740024183796857,0.9333333333333333,11,14,15,Improved_RAG
improved_k_15,15,20.727272727272727,32.82183308824672,-4.90834919771553,0.7333333333333333,9,11,15,Improved_RAG
improved_k_20,20,22.0,34.899856733230294,-30.649208282582215,0.5333333333333333,6,8,15,Improved_RAG
