Metric,Original_6,All_Companies,Change
Companies,6,15,9
Avg_ESG_Score,62.5,63.733333333333334,1.2333333333333343
Score_Range,51-66,51-70,Expanded
Discrimination_Power,0.7767617533048405,0.9054540785641398,0.1286923252592993
Clustering_Quality,0.03706426532940631,0.2200115424805324,0.18294727715112608
Optimal_Clusters,3,4,1
