Strategy,K_Value,MAE,RMSE,R2_Score,Tier_Accuracy,Success_Rate,Num_Successful,Num_Total
top_k_5,5,13.071428571428571,16.320451674421967,-0.8374630437843167,0.35714285714285715,1.0,14,14
top_k_10,10,13.071428571428571,16.399041783853452,-0.8552020273124035,0.35714285714285715,1.0,14,14
top_k_15,15,13.285714285714286,16.831093674675877,-0.954244685344221,0.35714285714285715,1.0,14,14
top_k_20,20,13.571428571428571,17.545858282145755,-1.1237505279459388,0.35714285714285715,1.0,14,14
